employee_id,name,email,age,hire_date,job_title,department,salary,status,termination_date,seniority,phone,national_id,gender,grade,bonus
EMP0045,eve torres,imane.benali@company.ma,39,2015-05-14,Analyst,Legal,18571.94,Active,,11.0,0655076693,,M,B,2000.00
EMP0046,ALICE MARTIN,charlie.kim@company.ma,44,2018-08-04,Analyst,Marketing,23081.18,Active,,7.7,0672535301,,M,A,2000.00
EMP0047,bob smith,grace.alami@company.ma,50,2023-02-06,Engineer,Marketing,8218.16,Inactive,2024-12-26,3.2,0662343121,,M,B,2000.00
EMP0048,CHARLIE DUPONT,imane.rousseau@company.ma,29,2014-12-12,Director,Marketing,25968.75,Active,,11.4,0655114543,,M,B,2000.00
EMP0049,diana kim,charlie.rousseau@company.ma,50,2021-12-24,Consultant,HR,32530.99,Active,,4.4,0696268397,,M,B,2000.00
EMP0050,EVE TORRES,charlie.martin@company.ma,34,2015-11-02,Manager,Marketing,20093.29,Active,,10.5,0647346970,,M,C,2000.00
EMP0051,alice martin,hassan.martin@company.ma,49,2022-02-05,Senior Global Ops Architect,Legal,10538.88,Active,,4.2,0615403355,,M,B,2000.00
EMP0052,BOB SMITH,alice.rousseau@company.ma,40,2013-06-02,Senior Global Legal Evangelist,Legal,12232.41,Active,,12.9,0672415804,,M,C,2000.00
EMP0053,charlie dupont,jalil.smith@company.ma,37,2013-09-03,Senior Lead Data Strategist,Finance,42368.83,Active,,12.7,0660372847,,M,B,2000.00
EMP0054,DIANA KIM,lina.kim@company.ma,37,2012-04-14,Senior Global AI Specialist,HR,36957.51,Inactive,2024-12-21,14.0,0667495923,,M,A,2000.00
EMP0055,eve torres,frank.martin@company.ma,29,2019-06-04,Senior Principal Ops Architect,IT,31516.65,Active,,6.9,0630534124,,M,B,2000.00
EMP0056,ALICE MARTIN,kenza.torres@company.ma,27,2023-10-25,Senior Principal Legal Architect,Marketing,38552.18,Active,,2.5,0646023439,,M,B,2000.00
EMP0057,bob smith,bob.torres@company.ma,40,2020-02-10,Senior Head Ops Officer,HR,32722.97,Active,,6.2,0613852048,,M,C,2000.00
EMP0058,CHARLIE DUPONT,diana.müller@company.ma,36,2015-10-18,Senior Chief Ops Evangelist,Legal,40563.97,Active,,10.5,0611362459,,F,B,2000.00
EMP0059,diana kim,lina.alami@company.ma,26,2020-12-16,Senior Lead Cyber Architect,Marketing,31898.41,Active,,5.4,0670152969,,M,A,2000.00
EMP0060,EVE TORRES,grace.kim@company.ma,34,2016-11-13,Senior Global Cyber Specialist,HR,20719.02,Active,,9.5,0654398056,,M,A,2000.00
EMP0061,Eve Kim,eve.kim@company.ma,42,2012-09-15,Senior Lead Ops Specialist,Legal,27826.97,Active,,13.6,0634850391,,F,B,2000.00
EMP0062,Eve Rousseau,eve.rousseau@company.ma,38,2021-10-07,Senior Global Ops Architect,IT,16416.88,Active,,4.6,0650569669,,M,B,2000.00
EMP0063,Alice Martin,alice.martin@company.ma,38,2022-05-31,Senior Head Cyber Specialist,Marketing,11795.74,Active,,3.9,0687049595,,M,A,2000.00
EMP0064,Frank Dupont,frank.dupont@company.ma,40,2011-02-25,Senior Global Legal Architect,Finance,22826.18,Active,,15.2,0687446468,,M,B,2000.00
EMP0065,Jalil Torres,jalil.torres@company.ma,40,2011-11-29,Senior Principal Data Strategist,Marketing,30433.75,Active,,14.4,0640291214,,F,A,2000.00
EMP0066,Hassan Torres,hassan.torres@company.ma,32,2023-03-15,Senior Head Cloud Specialist,HR,10228.52,Active,,3.1,0637888820,,F,C,2000.00
EMP0067,Charlie Kim,charlie.kim@company.ma,26,2013-11-24,Senior Chief Cloud Specialist,Finance,23115.15,Active,,12.4,0689699989,,M,C,2000.00
EMP0068,Eve Torres,eve.torres@company.ma,48,2020-03-08,Senior Lead AI Evangelist,Legal,29822.21,Active,,6.1,0667061186,,M,B,2000.00
EMP0069,Charlie Torres,charlie.torres@company.ma,48,2013-03-11,Senior Principal Ops Architect,IT,30016.63,Active,,13.1,0648736657,,M,A,2000.00
EMP0070,Eve Alami,eve.alami@company.ma,28,2016-02-09,Senior Global Cyber Officer,Marketing,10976.35,Inactive,,10.2,0653261270,,F,C,2000.00
EMP0071,Diana Rousseau,diana.rousseau@company.ma,50,2023-03-03,Senior Chief Data Strategist,Finance,36235.03,Active,,3.2,0673149551,,F,A,2000.00
EMP0072,Charlie Rousseau,charlie.rousseau@company.ma,29,2019-10-11,Senior Chief Ops Officer,IT,23108.88,Active,,6.6,0699943797,,M,B,2000.00
EMP0073,Lina Benali,lina.benali@company.ma,33,2016-06-19,Senior Global Data Evangelist,Marketing,11258.21,Inactive,2024-09-15,9.9,0625558733,,M,B,2000.00
EMP0074,Alice Cohen,alice.cohen@company.ma,32,2020-05-12,Senior Global Cyber Strategist,HR,21385.84,Active,,6.0,0693940940,,M,A,2000.00
EMP0075,Imane Dupont,imane.dupont@company.ma,31,2016-06-17,Senior Head Ops Architect,Finance,44006.43,Active,,9.9,0642117961,,F,C,2000.00
EMP0076,Imane Alami,imane.alami@company.ma,41,2012-02-03,Senior Lead Legal Officer,Finance,31965.26,Active,,14.2,0676890827,,M,B,2000.00
EMP0077,Grace Benali,grace.benali@company.ma,40,2020-08-04,Senior Principal Ops Strategist,Operations,22192.68,Active,,5.7,0678214937,,F,A,2000.00
EMP0078,Grace Müller,grace.müller@company.ma,39,2021-05-22,Senior Head Cyber Specialist,Legal,19046.57,Active,,4.9,0687835998,,M,B,2000.00
EMP0079,Hassan Müller,hassan.müller@company.ma,26,2017-06-16,Senior Lead Legal Architect,Marketing,42515.53,Inactive,,8.9,0642051937,,F,A,2000.00
EMP0080,Grace Martin,grace.martin@company.ma,30,2017-02-19,Senior Global Legal Evangelist,Legal,37318.57,Active,,9.2,0630415230,,M,A,2000.00
EMP0081,Jalil Müller,jalil.müller@company.ma,31,2012-04-02,Senior Global Legal Strategist,Marketing,8567.86,Active,,14.1,0665026398,,F,A,2000.00
EMP0082,Eve Müller,eve.müller@company.ma,33,2023-12-24,Senior Lead Data Specialist,Legal,39795.66,Active,,2.4,0652501540,,M,B,2000.00
EMP0083,Bob Kim,bob.kim@company.ma,41,2016-06-12,Senior Lead AI Officer,Finance,36133.68,Active,,9.9,0623489853,,M,B,2000.00
EMP0084,Alice Martin,alice.martin@company.ma,48,2017-04-11,Senior Global AI Officer,IT,23935.41,Active,,9.1,0681291936,,M,B,2000.00
EMP0085,Charlie Dupont,charlie.dupont@company.ma,47,2013-12-05,Senior Global Data Strategist,HR,33275.98,Inactive,,12.4,0629208935,,F,A,2000.00
EMP0086,Hassan Torres,hassan.torres@company.ma,30,2010-03-18,Senior Principal Ops Officer,HR,13845.1,Active,,16.1,0656381032,,F,C,2000.00
EMP0087,Grace Torres,grace.torres@company.ma,37,2020-03-31,Senior Head Ops Evangelist,Marketing,11946.17,Active,,6.1,0686762164,,M,B,2000.00
EMP0088,Lina Torres,lina.torres@company.ma,33,2010-06-29,Senior Global Data Architect,HR,40007.49,Active,,15.8,0691390501,,M,C,2000.00
EMP0089,Diana Rousseau,diana.rousseau@company.ma,41,2017-11-26,Senior Chief Ops Evangelist,IT,33077.28,Active,,8.4,0628358198,,M,A,2000.00
EMP0090,Hassan Martin,hassan.martin@company.ma,34,2022-12-31,Senior Principal Cloud Evangelist,IT,20088.61,Active,,3.3,0633574011,,F,B,2000.00
EMP0091,Frank Cohen,frank.cohen@company.ma,39,2021-04-03,Senior Global AI Strategist,Marketing,43793.21,Active,,5.1,0655461591,,M,A,2000.00
EMP0092,Charlie Kim,charlie.kim@company.ma,26,2018-11-30,Senior Head Cloud Officer,Marketing,8514.99,Active,,7.4,0626587799,,M,C,2000.00
EMP0093,Kenza Torres,kenza.torres@company.ma,34,2023-02-10,Senior Chief Ops Officer,Legal,16651.41,Active,,3.2,0693154172,,F,C,2000.00
EMP0094,Diana Smith,diana.smith@company.ma,37,2020-05-31,Senior Lead Data Architect,Operations,9677.83,Active,,5.9,0650851122,,M,A,2000.00
EMP0095,Imane Dupont,imane.dupont@company.ma,31,2018-09-19,Senior Lead Ops Officer,Legal,33769.91,Active,,7.6,0666254240,,F,B,2000.00
EMP0096,Kenza Smith,kenza.smith@company.ma,33,2020-12-22,Senior Principal Data Officer,Legal,21709.61,Active,,5.4,0669686067,,F,C,2000.00
EMP0097,Kenza Müller,kenza.müller@company.ma,35,2022-03-19,Senior Head Data Architect,IT,15022.92,Active,,4.1,0671031132,,M,B,2000.00
EMP0098,Jalil Martin,jalil.martin@company.ma,36,2011-02-19,Senior Lead Data Officer,HR,15592.61,Active,,15.2,0637804191,,F,B,2000.00
EMP0099,Diana Müller,diana.müller@company.ma,51,2013-04-23,Senior Global Legal Strategist,Operations,27987.97,Active,,13.0,0624754064,,M,B,2000.00
EMP0100,Diana Rousseau,diana.rousseau@company.ma,50,2017-04-06,Senior Head Cloud Specialist,Finance,12690.07,Active,,9.1,0680610004,,M,A,2000.00
EMP0101,Frank Cohen,frank.cohen@company.ma,46,2023-04-26,Senior Principal Legal Strategist,Operations,42980.38,Active,,3.0,0698436473,,F,1,2000.00
EMP0102,Alice Martin,alice.martin@company.ma,33,2020-09-28,Senior Lead Cyber Officer,Finance,26139.95,Active,,5.6,0619863756,,M,4,2000.00
EMP0103,Bob Dupont,bob.dupont@company.ma,26,2016-03-02,Senior Global Legal Strategist,HR,27630.6,Active,,10.2,0677853916,,F,3,2000.00
EMP0104,Lina Smith,lina.smith@company.ma,41,2022-05-14,Senior Chief AI Strategist,Operations,23311.1,Active,,4.0,0663516659,,M,1,2000.00
EMP0105,Frank Torres,frank.torres@company.ma,44,2018-05-25,Senior Chief Legal Strategist,Finance,38775.56,Active,,7.9,0667965485,,M,1,2000.00
EMP0106,Imane Martin,imane.martin@company.ma,26,2023-02-26,Senior Principal Cyber Strategist,Legal,12522.56,Inactive,2024-12-28,3.2,0666765623,,M,1,2000.00
EMP0107,Frank Smith,frank.smith@company.ma,28,2022-12-18,Senior Principal Legal Strategist,Legal,25841.01,Active,,3.4,0656991504,,F,1,2000.00
EMP0108,Eve Rousseau,eve.rousseau@company.ma,32,2015-01-27,Senior Lead Cloud Architect,HR,32974.14,Inactive,2025-07-24,11.3,0691737913,,M,2,2000.00
EMP0109,Lina Torres,lina.torres@company.ma,35,2017-08-15,Senior Head Data Evangelist,Operations,28953.88,Active,,8.7,0619339597,,F,3,2000.00
EMP0110,Imane Kim,imane.kim@company.ma,32,2018-06-09,Senior Global AI Architect,Operations,21691.96,Active,,7.9,0686181117,,F,1,2000.00
EMP0111,Charlie Dupont,charlie.dupont@company.ma,49,2023-11-10,Senior Global Legal Officer,Marketing,32491.73,Active,,2.5,0691480362,,M,2,2000.00
EMP0112,Imane Smith,imane.smith@company.ma,32,2017-09-28,Senior Chief AI Architect,Legal,33103.99,Active,,8.6,0680723898,,M,3,2000.00
EMP0113,Jalil Martin,jalil.martin@company.ma,42,2010-03-04,Senior Chief Data Strategist,Operations,36273.95,Active,,16.2,0654039837,,M,4,2000.00
EMP0114,Grace Dupont,grace.dupont@company.ma,34,2012-11-24,Senior Principal Cloud Evangelist,Operations,26509.71,Inactive,2025-11-15,13.4,0619673809,,M,4,2000.00
EMP0115,Hassan Smith,hassan.smith@company.ma,25,2017-01-08,Senior Head Cyber Architect,Marketing,34251.46,Active,,9.3,0648858073,,M,4,2000.00
EMP0116,Frank Dupont,frank.dupont@company.ma,30,2023-11-12,Senior Lead Legal Specialist,Marketing,39245.92,Active,,2.5,0668475513,,F,4,2000.00
EMP0117,Grace Torres,grace.torres@company.ma,41,2017-08-13,Senior Chief Cloud Architect,Finance,26887.88,Active,,8.7,0681216573,,F,4,2000.00
EMP0118,Frank Müller,frank.müller@company.ma,40,2013-04-24,Senior Chief Data Strategist,IT,15299.06,Active,,13.0,0630517835,,M,3,2000.00
EMP0119,Kenza Benali,kenza.benali@company.ma,26,2020-05-28,Senior Lead Ops Officer,Legal,42193.71,Inactive,,5.9,0695268296,,F,1,2000.00
EMP0120,Kenza Müller,kenza.müller@company.ma,31,2013-05-21,Senior Global Ops Specialist,Marketing,31361.25,Active,,12.9,0689379016,,M,4,2000.00
EMP0121,Eve Benali,eve.benali@company.ma,49,2020-02-20,Senior Chief Cloud Specialist,IT,10839.05,Active,,6.2,0692545028,,F,1,2000.00
EMP0122,Jalil Cohen,jalil.cohen@company.ma,31,2010-12-03,Senior Chief Cyber Officer,Operations,19896.49,Inactive,2025-05-02,15.4,0630248230,,M,1,2000.00
EMP0123,Frank Smith,frank.smith@company.ma,43,2021-04-26,Senior Lead Data Strategist,Legal,24197.06,Active,,5.0,0680339290,,F,1,2000.00
EMP0124,Frank Torres,frank.torres@company.ma,33,2018-09-09,Senior Principal Cyber Strategist,HR,9937.52,Active,,7.6,0696879854,,M,1,2000.00
EMP0125,Imane Alami,imane.alami@company.ma,40,2016-05-16,Senior Global AI Evangelist,IT,11015.57,Inactive,2025-08-04,10.0,0656952151,,M,1,2000.00
EMP0126,Lina Smith,lina.smith@company.ma,26,2016-12-11,Senior Principal Data Officer,IT,38087.84,Active,,9.4,0680651318,,M,A,2000.00
EMP0127,Alice Müller,alice.müller@company.ma,43,2016-12-05,Senior Global Ops Strategist,Marketing,15104.19,Active,,9.4,0630796389,,M,C,2000.00
EMP0128,Bob Cohen,bob.cohen@company.ma,27,2022-02-08,Senior Chief Data Architect,IT,40426.53,Active,,4.2,0627589104,,F,A,2000.00
EMP0129,Charlie Rousseau,charlie.rousseau@company.ma,31,2013-09-18,Senior Head Ops Architect,IT,33025.43,Active,,12.6,0669619341,,F,C,2000.00
EMP0130,Hassan Kim,hassan.kim@company.ma,40,2021-12-23,Senior Principal Cloud Specialist,Operations,21610.12,Active,,4.4,0669135982,,M,C,2000.00
EMP0131,Imane Cohen,imane.cohen@company.ma,44,2019-05-23,Senior Principal Ops Architect,Operations,40301.07,Active,,6.9,0696057593,,M,C,2000.00
EMP0132,Bob Cohen,bob.cohen@company.ma,38,2012-10-18,Senior Principal AI Evangelist,IT,24624.81,Active,,13.5,0629776801,,M,A,2000.00
EMP0133,Diana Benali,diana.benali@company.ma,50,2017-11-03,Senior Head Cyber Strategist,Marketing,26574.26,Active,,8.5,0661830338,,M,C,2000.00
EMP0134,Frank Smith,frank.smith@company.ma,44,2017-07-09,Senior Chief Cyber Strategist,IT,41943.66,Active,,8.8,0628628439,,M,A,2000.00
EMP0135,Bob Martin,bob.martin@company.ma,41,2015-09-28,Senior Global Cloud Strategist,Legal,30528.56,Active,,10.6,0624923247,,M,B,2000.00
EMP0136,Alice Kim,alice.kim@company.ma,30,2019-06-02,Senior Principal Legal Architect,Marketing,30079.34,Active,,6.9,0694819556,,F,B,2000.00
EMP0137,Charlie Torres,charlie.torres@company.ma,51,2019-08-18,Senior Lead Cloud Specialist,Operations,29114.56,Inactive,2024-07-10,6.7,0699686286,,M,B,2000.00
EMP0138,Bob Cohen,bob.cohen@company.ma,28,2022-03-16,Senior Head AI Architect,Finance,22446.79,Inactive,,4.1,0695318289,,M,C,2000.00
EMP0139,Alice Müller,alice.müller@company.ma,35,2011-07-08,Senior Chief Data Officer,Legal,31245.51,Active,,14.8,0654629892,,F,A,2000.00
EMP0140,Frank Dupont,frank.dupont@company.ma,29,2020-06-03,Senior Global Cloud Strategist,Finance,34493.67,Active,,5.9,0614963880,,M,B,2000.00
EMP0141,Diana Martin,diana.martin@company.ma,37,2017-01-29,Senior Principal AI Officer,HR,25515.79,Inactive,2024-02-07,9.3,0635649468,,M,C,2000.00
EMP0142,Alice Müller,alice.müller@company.ma,45,2016-02-17,Senior Chief Data Strategist,Marketing,35502.39,Active,,10.2,0655504725,,F,A,2000.00
EMP0143,Frank Cohen,frank.cohen@company.ma,47,2015-12-25,Senior Chief Ops Specialist,Marketing,30290.77,Active,,10.3,0683212334,,M,C,2000.00
EMP0144,Frank Torres,frank.torres@company.ma,31,2016-11-15,Senior Principal Data Officer,Marketing,14165.86,Inactive,2025-03-30,9.5,0670012727,,M,C,2000.00
EMP0145,Grace Torres,grace.torres@company.ma,47,2011-04-15,Senior Lead Ops Strategist,HR,37640.55,Active,,15.0,0631473054,,M,B,2000.00
EMP0146,Kenza Benali,kenza.benali@company.ma,45,2010-10-13,Senior Lead Cyber Architect,Legal,21554.15,Active,,15.5,0686134287,,M,B,2000.00
EMP0147,Hassan Müller,hassan.müller@company.ma,31,2018-05-06,Senior Global Data Evangelist,Operations,27590.02,Active,,8.0,0652196099,,M,B,2000.00
EMP0148,Alice Dupont,alice.dupont@company.ma,28,2021-03-12,Senior Chief Ops Officer,Finance,17685.74,Active,,5.1,0669897763,,F,B,2000.00
EMP0149,Hassan Kim,hassan.kim@company.ma,45,2012-10-01,Senior Global Cloud Specialist,Operations,41251.12,Active,,13.6,0621783073,,M,C,2000.00
EMP0150,Imane Cohen,imane.cohen@company.ma,37,2016-07-06,Senior Principal AI Strategist,Legal,42311.0,Active,,9.8,0633366099,,M,B,2000.00
EMP0151,Diana Dupont,diana.dupont@company.ma,29,2015-04-24,Director,HR,29174.26,Active,2025-08-05,11.0,0684040798,,F,B,2000.00
EMP0152,Bob Torres,bob.torres@company.ma,29,2018-12-06,Engineer,Marketing,38463.56,Active,2025-11-25,7.4,0652550733,,M,A,2000.00
EMP0153,Imane Müller,imane.müller@company.ma,26,2012-11-17,Manager,Operations,24006.88,Active,2025-03-24,13.5,0679538491,,F,C,2000.00
EMP0154,Frank Kim,frank.kim@company.ma,28,2017-10-05,Analyst,IT,15263.17,Active,2024-07-04,8.6,0646836194,,F,C,2000.00
EMP0155,Bob Cohen,bob.cohen@company.ma,44,2013-10-13,Developer,HR,34663.41,Active,2025-09-17,12.5,0655314533,,F,A,2000.00
EMP0156,Alice Smith,alice.smith@company.ma,25,2011-01-08,Developer,Operations,36377.48,Active,2025-01-23,15.3,0692961108,,M,A,2000.00
EMP0157,Imane Torres,imane.torres@company.ma,29,2016-10-10,Developer,Marketing,19005.05,Active,2025-01-02,9.6,0618041391,,F,A,2000.00
EMP0158,Hassan Kim,hassan.kim@company.ma,44,2017-08-18,Developer,IT,35165.39,Active,2025-09-18,8.7,0663514837,,F,C,2000.00
EMP0159,Bob Müller,bob.müller@company.ma,30,2015-06-04,Director,Marketing,17173.0,Active,2024-01-30,10.9,0616792127,,M,A,2000.00
EMP0160,Grace Kim,grace.kim@company.ma,36,2013-08-01,Developer,IT,15023.86,Active,2025-12-01,12.7,0679085198,,M,A,2000.00
EMP0161,Hassan Martin,hassan.martin@company.ma,33,2012-01-08,Engineer,Operations,15960.34,Active,2024-05-13,14.3,0616783418,,M,A,2000.00
EMP0162,Kenza Benali,kenza.benali@company.ma,27,2016-05-29,Analyst,Marketing,12955.59,Active,2025-05-09,9.9,0659093843,,M,C,2000.00
EMP0163,Alice Rousseau,alice.rousseau@company.ma,42,2022-08-08,Consultant,IT,10720.67,Active,2025-05-14,3.7,0670445541,,F,C,2000.00
EMP0164,Jalil Rousseau,jalil.rousseau@company.ma,45,2012-08-31,Engineer,IT,37411.2,Active,2024-04-25,13.7,0684870921,,M,B,2000.00
EMP0165,Imane Alami,imane.alami@company.ma,49,2021-03-20,Analyst,Operations,34402.9,Active,2025-02-25,5.1,0679703656,,M,B,2000.00
EMP0166,Imane Dupont,imane.dupont@company.ma,37,2017-05-10,Engineer,HR,35354.82,Active,,9.0,0689688374,,M,B,2000.00
EMP0167,Imane Benali,imane.benali@company.ma,37,2022-08-17,Analyst,IT,20255.86,Active,,3.7,0665907088,,F,C,2000.00
EMP0168,Lina Martin,lina.martin@company.ma,30,2023-05-22,Developer,HR,29372.47,Active,,2.9,0688319168,,M,B,2000.00
EMP0169,Lina Rousseau,lina.rousseau@company.ma,44,2018-07-12,Analyst,HR,43083.59,Active,,7.8,0635606639,,M,A,2000.00
EMP0170,Charlie Alami,charlie.alami@company.ma,32,2014-07-29,Consultant,Marketing,40294.26,Inactive,,11.8,0628533117,,F,B,2000.00
EMP0171,Kenza Benali,kenza.benali@company.ma,34,2021-10-14,Manager,Marketing,41748.59,Active,,9.7,0683319550,,M,C,2000.00
EMP0172,Diana Kim,diana.kim@company.ma,26,2016-04-04,Manager,IT,36533.45,Active,,13.4,0637820354,,M,C,2000.00
EMP0173,Imane Torres,imane.torres@company.ma,45,2016-06-15,Developer,HR,22048.68,Inactive,2025-02-08,16.2,0629659692,,M,A,2000.00
EMP0174,Lina Smith,lina.smith@company.ma,31,2017-10-08,Developer,Marketing,15917.51,Active,,11.7,0646390817,,F,C,2000.00
EMP0175,Jalil Rousseau,jalil.rousseau@company.ma,40,2015-05-15,Developer,HR,16349.85,Active,,18.3,0617045237,,M,A,2000.00
EMP0176,Hassan Smith,hassan.smith@company.ma,51,2013-01-31,Manager,Marketing,32157.03,Inactive,,18.8,0697313825,,F,C,2000.00
EMP0177,Kenza Martin,kenza.martin@company.ma,25,2012-01-03,Consultant,Legal,34755.35,Active,,21.0,0633496796,,M,B,2000.00
EMP0178,Alice Alami,alice.alami@company.ma,43,2021-02-10,Analyst,Finance,19040.51,Active,,11.8,0624401654,,M,C,2000.00
EMP0179,Kenza Cohen,kenza.cohen@company.ma,29,2021-10-05,Consultant,Marketing,18094.97,Active,,8.7,0654383668,,F,A,2000.00
